contrast,estimate,SE,df,t.ratio,p.value
CN1 A200 A_Wet - VER C1200 A_Wet,0.033931809165031676,NA,1051,NA,NA
CN1 A200 A_Wet - ALL D1700 A_Wet,0.02084257487111968,NA,1051,NA,NA
CN1 A200 A_Wet - ANT D1700 A_Wet,-0.005513672350360155,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 D1700 A_Wet,-0.022438411834132276,NA,1051,NA,NA
CN1 A200 A_Wet - VER D1700 A_Wet,0.03430724511116553,NA,1051,NA,NA
CN1 A200 A_Wet - ALL E2200 A_Wet,0.024774723661595797,NA,1051,NA,NA
CN1 A200 A_Wet - ANT E2200 A_Wet,-0.013850633216497644,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 E2200 A_Wet,-0.04529821185400751,NA,1051,NA,NA
CN1 A200 A_Wet - VER E2200 A_Wet,-0.06431674819405762,NA,1051,NA,NA
CN1 A200 A_Wet - ALL F2700 A_Wet,0.03392839992105506,NA,1051,NA,NA
CN1 A200 A_Wet - ANT F2700 A_Wet,-0.055188198740593816,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 F2700 A_Wet,-0.017519979236013783,NA,1051,NA,NA
CN1 A200 A_Wet - VER F2700 A_Wet,0.026095576569572343,NA,1051,NA,NA
CN1 A200 A_Wet - ALL G3200 A_Wet,0.37977066623693667,NA,1051,NA,NA
CN1 A200 A_Wet - ANT G3200 A_Wet,-0.661393573018299,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 G3200 A_Wet,-0.009154157827284959,NA,1051,NA,NA
CN1 A200 A_Wet - VER G3200 A_Wet,0.022738858104531932,NA,1051,NA,NA
CN1 A200 A_Wet - ALL H3700 A_Wet,0.3749754187965484,NA,1051,NA,NA
CN1 A200 A_Wet - ANT H3700 A_Wet,-0.6661888204586873,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 H3700 A_Wet,-0.03671156263993641,NA,1051,NA,NA
CN1 A200 A_Wet - VER H3700 A_Wet,0.03591052059600266,NA,1051,NA,NA
CN1 A200 A_Wet - ALL A200 B_Dry,0.06969902071988854,NA,1051,NA,NA
CN1 A200 A_Wet - ANT A200 B_Dry,0.028534781464652867,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 A200 B_Dry,0.003881712432541235,NA,1051,NA,NA
CN1 A200 A_Wet - VER A200 B_Dry,0.07560633886101537,NA,1051,NA,NA
CN1 A200 A_Wet - ALL B700 B_Dry,0.050264610977235225,NA,1051,NA,NA
CN1 A200 A_Wet - ANT B700 B_Dry,0.019066085210035177,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 B700 B_Dry,0.024842759968834484,NA,1051,NA,NA
CN1 A200 A_Wet - VER B700 B_Dry,0.06329228053326637,NA,1051,NA,NA
CN1 A200 A_Wet - ALL C1200 B_Dry,0.05715137994773109,NA,1051,NA,NA
CN1 A200 A_Wet - ANT C1200 B_Dry,-0.03099919326319982,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 C1200 B_Dry,-0.008077979293531289,NA,1051,NA,NA
CN1 A200 A_Wet - VER C1200 B_Dry,0.05055040274673108,NA,1051,NA,NA
CN1 A200 A_Wet - ALL D1700 B_Dry,0.04785551039409416,NA,1051,NA,NA
CN1 A200 A_Wet - ANT D1700 B_Dry,0.021499263172614323,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 D1700 B_Dry,0.0045745236888422025,NA,1051,NA,NA
CN1 A200 A_Wet - VER D1700 B_Dry,0.061320180634140006,NA,1051,NA,NA
CN1 A200 A_Wet - ALL E2200 B_Dry,0.00327942000400339,NA,1051,NA,NA
CN1 A200 A_Wet - ANT E2200 B_Dry,-0.03534593687409005,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 E2200 B_Dry,-0.06679351551159991,NA,1051,NA,NA
